Project Name,Architect,Year,City,Continent,Project Type,Aspect,image link?,Source,Primary Source,Secondary Sources,Summary,,,,,,,,,,,,,,
"""Bioclimatic Dwelling in Tenerife""","""Ruiz Larrea y Asociados""","""2003""","""Tenerife, Spain""","""europe""","""built project""","""site, energy""","""https://www.archdaily.com/775212/bioclimatic-dwelling-in-tenerife-ruiz-larrea-y-asociados""","""https://www.archdaily.com/775212/bioclimatic-dwelling-in-tenerife-ruiz-larrea-y-asociados""",,,"""The Bioclimatic Dwelling in Tenerife by Ruiz Larrea y Asociados used local materials with zero energy cost, such as Tosca volcanic stone and recycled wood, to control air renewal and alleviate impacts on the environment. Local conditions including benign weather conditions led to no heating and cooling requirements, contributing to further reductions in cost. One key aspect of the site - high wind pressure - heavily informed the design of the project, hence placing it under the Site category. Not only that, but the architects also used materials such as Tosca stone the concrete slabs to supply the interior space with fresh air and avoid direct sunlight. Such passive systems within the house, achieved through the use of materials, intended to maximise the Comfort of the residents.""",,,,,,,,,,,,,,
"""People's Pavilion""","""bureau SLA + Overtreders W""","""2017""","""Eidhoven, The Netherlands""","""europe""","""built project""","""site, circular economy, technical metabolism""","""https://www.bureausla.nl/project/peoples-pavilion/?lang=en""","""https://www.bureausla.nl/project/peoples-pavilion/?lang=en, https://www.archdaily.com/915977/peoples-pavilion-bureau-sla-plus-overtreders-w""",,,"""People's Pavilion, designed by bureau SLA + Overtreders W, successfully made a design statement regarding a circular economy, where the pavilion was a 100% circular building with no materials being wasted. Used as the main event hall of the World Design Event, the structure could accommodate 200 people and served as a venue for meetings and hang-out spaces for visitors. All materials were borrowed from people such as the traditional suppliers as well as the residents of Eindhoven, making the project highly dependent on the locals. The podium, which consisted of concrete slabs, was borrowed from the manufacturers while the coloured facade was made from plastic wastes produced by the residents. The circular construction loop was closed by redistributing the coloured tiles to the households at the end of Dutch Design Week. Overall, the reuse of materials from the residents as well as the use of borrowed materials highlight the aspects of Site and Urban Mine. The final design resulted in a space that left absolutely no impact to the environment, hence taking into account Capital.""",,,,,,,,,,,,,,
"""Community Centre of El Rodeo de Mora""","""Fournier-Rojas Arquitectos""","""2017""","""El Rodeo de Mora, Costa Rica""","""north america""","""built project""","""site, people""","""https://www.designboom.com/architecture/fournier-rojas-arquitectos-community-center-of-el-rodeo-de-mora-costa-rica-01-24-2017/""","""https://www.designboom.com/architecture/fournier-rojas-arquitectos-community-center-of-el-rodeo-de-mora-costa-rica-01-24-2017/""",,,"""Community Centre of El Rodeo de Mora, designed by Fournier-Rojas Arquitectos, was built on low budget (less than $250 per square metre), using local materials. The large, circular design enabled the construction of new amenities such as storage facilities, kitchens, and toilets for the neighbourhood's soccer team. The project largely responds to the site through its use of local materials - material donations were received from the community, which both lowered costs and led to the adaptation to the context. The walls were built out of clay ventilation bricks, allowing ventilation in an area with high temperature and humidity. Furthermore, the roof was built out of fibre-cement sheets that extend 2m from the edge of the building. This provides shade that protects people from the frequent sun and rain, successfully ""respond[ing] to the region's tropical vernacular architecture.""""",,,,,,,,,,,,,,
"""Jinhua Yanweizhou Park""","""Turenscape""","""2014""","""Zhejiang Province, China""","""asia""","""landscape architecture project""","""site, water""","""https://www.world-architects.com/en/turenscape-haidian-district-beijing/project/jinhua-yanweizhou-park""","""https://www.world-architects.com/en/turenscape-haidian-district-beijing/project/jinhua-yanweizhou-park""",,,"""The key to Jinhua Yanweizhou Park, which covers approximately 26 hectares of land at the edge of three rivers in China's Zhejiang Province, was to remove the pre-existing concrete flood wall while minimising the damage caused by the seasonal flood. The resulting bridge embraced the site by making connections to the culture as well as the physical characteristics of the landscape. The bridge does not simply connect the individual communities to make it accessible; the profile makes references to the local dance called Bandeng Long. As the whole pathway is elevated above ground, visitors to the park can take a walk all year round (even when water levels rise) while the Land below no longer requires artificial fertilisers. Instead of resisting the natural phenomenon, the architects chose to embrace what was inevitable to create a project that embeds itself into the site.""",,,,,,,,,,,,,,
"""Mars Science City""","""Bjarke Ingels Group""","""2017""","""Dubai, United Arab Emirates""","""asia""","""built project""","""site, energy""","""https://www.dezeen.com/2017/09/28/bjarke-ingels-mars-science-city-space-exploration-dubai-united-arab-emirates/""","""https://big.dk/?s=Mars+science+city, https://www.dezeen.com/2017/09/28/bjarke-ingels-mars-science-city-space-exploration-dubai-united-arab-emirates/""",,,"""Mars Science City, proposed by the Bjarke Ingels Group, outlines the plans for a city on Mars that would be self-sufficient. A smaller version of the actual city was replicated in Dubai: 4 geodesic domes cover 17.5 hectares. A team was designated to live inside the experimental city for a year, with scientists still working to create conditions that allow self-sufficiency in energy, food, and water. The city also had to be designed according to special requirements such as low gravity, extreme temperatures, and high radiation levels. This project is entirely based on the conditions of the site, since it seeks to investigate Martian vernacular architecture.""",,,,,,,,,,,,,,
"""Design for Social Sustainability""","""Woodcraft, S., Bacon, N., Caistor-Arendar, L., Hackett, T""","""2012""","""UK""","""europe""","""publication""","""people, health, digitalization""","""http://www.social-life.co/media/files/DESIGN_FOR_SOCIAL_SUSTAINABILITY_3.pdf""","""http://www.social-life.co/media/files/DESIGN_FOR_SOCIAL_SUSTAINABILITY_3.pdf""",,,"""'Design for Social Sustainability,' written by Woodcraft, S., Bacon, N., Caistor-Arendar, L., Hackett, T, lays out a framework for designing spaces, houses, and services to help communities thrive and become socially sustainable. Despite the current neglection of the long-term and short-term social needs of new communities, there is still much priority given to economic and environmental sustainability. This publication puts emphasis on how social sustainability can be achieved in emerging communities and how it is essential, revealing how people can become socially healthy.""",,,,,,,,,,,,,,
"""New Housing, Coin Street""","""Haworth Tompkins""","""1998""","""London, UK""","""europe""","""built project""","""people, health""","""https://www.communityledhousing.london/project/coin-street/""",,,,"""Milton Keynes, one of the Engligh New Towns located in London, UK, provides temporary community housing as well as a funding of £10,000 for new housing developments. People are allowed to self-build on the site to accommodate their own needs, hence allowing neighbourhood characteristics to be developed. The intention of the community is to not only house new people within the communities but also to combat isolation and to encourage community events and interactions. This shows how new communities can help more people become socially healthy, contributing to the longevity of cities and towns.""",,,,,,,,,,,,,,
"""Carazo Architecture Office""","""Carazo Arquitectura""","""2019""","""San Jose, Costa Rica""","""north america""","""built project""","""people, health""","""https://www.archdaily.com/957902/carazo-architecture-office-carazo-arquitectura""","""https://www.archdaily.com/957902/carazo-architecture-office-carazo-arquitectura, http://carazoarquitectura.com/new-carazo-architecture-office/""",,,"""The Carazo Architecture Office, designed by Carazo Arquitectura, reveals what the architects think the ideal future office space should be. The quality of life of the occupants is enhanced through the coexistence with nature as well as the adaptability of spaces according to new requirements in programme. The project successfully illustrates one of the elements necessary to social sustainability and the health of individuals: access to nature. It has been revealed that people tend to be ""better off"" when they have access to nature, as it ""yields better cognifice functioning, more self-discipline ... and greater mental health."" The employment of biophilic design - which seeks to establish an emotional link between People and living organisms - ensures that the employees are always in contact with vegetation. The layers of the facade, which allow the growth of greenery, create a comfortable feeling to enhance the Health of the users.""",,,,,,,,,,,,,,
"""Sidwell Friends Middle School""","""Kieran Timberlake Associates""","""2006""","""Washington, D.C., USA""","""north america""","""built project""","""people, health, water, energy""","""https://scholarworks.umass.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=2015&context=theses""","""https://scholarworks.umass.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=2015&context=theses""",,,"""Sidwell Friends Middle School by Kieran Timberlake Associates was meant to serve as a ""living laboratory"" for its students. With an emphasis on environmental sustainability, the project comes under the People and Health category. Not only is the building oriented to maximise solar input, but it also captures stormwater on green roofs to grow vegetation. Light shelves and shading devices were also added to provide shelter from direct sunlight and diffused lighting to maximise comfort both indoors and outdoors. The building also had significant indirect impact, as its use of recycled materials and 100% efficient means of growing vegetation and maintaining the pond affected the neighbourhood.""",,,,,,,,,,,,,,
"""Queens Botanical Garden""","""BKSK Architects""","""2007""","""New York, USA""","""north america""","""built project""","""people, health, water, energy""","""https://scholarworks.umass.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=2015&context=theses""","""https://scholarworks.umass.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=2015&context=theses""",,,"""Queens Botanical Garden, designed by BKSK Architects, focuses on maximising its impact on environmental sustainability in Flushing, NY. Its main design decisions - the green roof and the construction of bioswales to capture and reuse stormwater - contribute towards sustainability efforts. Furthermore, PV panels are utilised to save energy while the building is oriented along the east-west axis in order to maximise daylighting. Similar to the Sidwell Friends Middle School, the garden makes use of indirect impact on people and their health through opening its facilities to the public.""",,,,,,,,,,,,,,
"""Forte Building""","""Lend Lease""","""2013""","""Melbourne, Australia""","""oceania""","""built project""","""health, fabrication""","""https://www.architectureanddesign.com.au/projects/multi-residential/forte-by-lend-lease#""","""https://www.architectureanddesign.com.au/projects/multi-residential/forte-by-lend-lease#""",,,"""The Forte Building in Melbourne, Australia, designed by Lend Lease, was the tallest cross-laminated timber (CLT) building in the world at the time of its construction (2013). The project aimed to use renewable materials and high-tech manufacturing processes, while developing a prototype that could be reused and adapted to other types of buildings - this highlights how the project puts an emphasis on Fabrication processes and methods using CLT. The housing complex comes under the Health category since it was successful in reducing waste, being efficient in construction, and developing an affordable way of building houses. The design concept was also largely dependent on minimising environmental impact while using wood at larger scales such as high-rise buildings.""",,,,,,,,,,,,,,
"""Metropol Parasol""","""Jurgen Mayer""","""2011""","""Seville, Spain""","""europe""","""built project""","""fabrication, technical metabolism""","""https://www.archdaily.com/201961/metropol-parasol-j-mayer-h-arup""","""https://www.archdaily.com/201961/metropol-parasol-j-mayer-h-arup""",,,"""The Metropol Parasol, a wooden structure designed by Jurgen Mayer and located in the excavation site of Plaza de la Encarnacion in Seville, Spain, is considered the largest wooden structure in the world. The structure occupies 50 square metres while consisting of rooftop promenades that offer views of the city from above. The Metropol belongs in the 'Materiality and Culture' category under People, since it both experiments with wood as a sustainable material while contributing towards the culture of Seville. The wooden panels were coated with polyurethane and the unique profile of the modules and the spaces that are created intend to host a variety of cultural and social activities within the dense urban fabric of the city. Additionally, the neutral colour of the wood blends naturally into the cityscape, hence harmonising with the city's ""medieval surroundings.""""",,,,,,,,,,,,,,
"""Wander Wood Pavilion""","""Inhabitat""","""2018""","""Vancouver, Canada""","""north america""","""built project""","""fabrication, technical metabolism""","""https://www.dezeen.com/2018/11/02/wander-wood-pavilion-robotic-timber-fabrication-university-british-columbia-vancouver/""","""https://www.dezeen.com/2018/11/02/wander-wood-pavilion-robotic-timber-fabrication-university-british-columbia-vancouver/""",,,"""The Wander Wood Pavilion, located in Vancouver, Canada, is an experimental project conducted by the students at the University of British Columbia. The wooden structure represents the integration between reusable, traditional materials and new, futuristic technologies (wood fabrication). The key to the pavilion was the use of wood as a sustainable material that could store Carbon.""",,,,,,,,,,,,,,
"""Temporary Church in Risaralda""","""Simon Velez""","""2002""","""Rosarala, Colombia""","""south america""","""built project""","""people, health, fabrication""","""https://divisare.com/authors/2144845144-simon-velez-architects/projects/built""","""https://divisare.com/authors/2144845144-simon-velez-architects/projects/built, https://www.degruyter.com/document/doi/10.1515/9783035608656-028/html""",,,"""Temporary Church in Risaralda by Simon Velez, similar to the Metropol Parasol and the Wander Wood Pavilion, aimed to combine traditional building materials - bamboo - with new and advanced technologies. The Guadua bamboo covered a metallic mesh and cement layer underneath, signalling new Fabrication techniques. Velez made active use of bamboo's versatility: any type of structure could be constructed, with the outcome being environmentally and structurally beneficial. This project introduced new construction techniques in Colombia, where bamboo could now be used for buildings in inter-tropical regions, where it had previously been unimaginable. Therefore, this project highlights people's efforts to unite ""vernacular architecture with [the] contemporary.""""",,,,,,,,,,,,,,
"""Green Healthcare Institutions: Health, Environment, and Economics""","""Institute of Medicine (2007) Roundtable on Environmental Health Sciences, Research, and Medicine""","""2007""","""Washington, D.C., USA""","""north america""","""publication""","""people, health, digitalization""","""https://www.ncbi.nlm.nih.gov/books/NBK54149/""","""https://www.ncbi.nlm.nih.gov/books/NBK54149/, https://pubmed.ncbi.nlm.nih.gov/21595109/""",,,"""'Green Healthcare Institutions: Health, Environment, and Economics,' a publication by the Institute of Medicine (2007) Green Healthcare Institutions, outlines various factors - temperature, lighting, indoor air quality - that affect the health in buildings, as well as how design can help enhance the quality of life of its occupants. According to the Environmental Protection Agency (EPA), Americans spend approximately 90% of their time indoors, where low air circulation creates 2-5 times the amount of pollutants compared to the outdoor environment. Thus, it is crucial that architectural design principles prevent such health problems from harming human beings, and methods include: ventilation control, maintenance, and prevention of pollutants. The text also provides cases of sustainable healthcare architecture, where designers attempted to use sustainable concepts to improve the health of buildings and prevent adverse health effects such as the Sick Building Syndrome. Overall, as 'Health in Buildings' outlines ways of utilising design to prevent health problems that may affect both people and buildings, the text belongs under the People and Health category.""",,,,,,,,,,,,,,
"""Concrete Footbridge""","""EPFL""","""2021""","""Fribourg, Switzerland""","""europe""","""built project""","""fabrication, technical metabolism""","""https://www.popsci.com/science/reuse-concrete-bridge/""","""https://www.popsci.com/science/reuse-concrete-bridge/""",,,"""The Concrete Footbridge on display in Smart Living Lab, Fribourg, Switzerland, is built of 25 concrete blocks taken from pre-existing walls. The primary goal of the architects at EPFL was to reuse concrete, as most of the concrete that is left behind when buildings are demolished are sent to landfills (which then cause 8% of the world's carbon emissions). This resulted in a bridge that minimised its carbon footprint while employing existing technologies. The project belongs under the Urban Mine category because it is an example of how architecture can reuse materials that have previously been used for other purposes: the architects found a site that contained concrete blocks of the desired size, smoothened out the blocks so that they could come together as an arch, and filled the joints with mortar.""",,,,,,,,,,,,,,
"""Experimental Architecture Project""","""Design & Make Organisation (DMO), C-LAB""","""2019""","""Taipei, Taiwan""","""asia""","""proposal""","""site, people, technical metabolism""","""https://www.archdaily.com/927263/urban-mining-trilogy-at-c-lab-investigates-circular-material-reuse?ad_medium=gallery""","""https://www.archdaily.com/927263/urban-mining-trilogy-at-c-lab-investigates-circular-material-reuse?ad_medium=gallery""",,,"""The Experimental Architecture Project, led by Design & Make Organisation (DMO), C-LAB, aimed to reuse discarded red bricks from the dismantled walls around the C-LAB building. Similar to the concrete footbridge, this project is an example of urban mine since it recovers previously used materials by special treatments and processes to build something new. The site consisted of three old trees and a guard post, where only parts of the existing walls were preserved. The architects reused discarded bricks from a dismantled wall next to their office, hence closing the cycle and engaging further with the Site.The resulting space successfully serves as a place for people to gather and socialise - interactions within the community are encouraged, consequently creating new meaning for this previously discarded urban corner.""",,,,,,,,,,,,,,
"""United Bottle's Project""","""INSTANT Architects""","""2007""","""Zürich, Switzerland""","""europe""","""built project""","""fabrication, technical metabolism""","""https://www.theguardian.com/sustainable-business/2015/jun/19/three-ways-we-will-build-the-cities-of-the-future-from-waste""","""https://www.theguardian.com/sustainable-business/2015/jun/19/three-ways-we-will-build-the-cities-of-the-future-from-waste, http://www.raumtaktik.de/en/projects/077-united-bottle""",,http://www.raumtaktik.de/en/projects/077-united-bottle,"""The United Bottles Project, a prototype developed by INSTANT Architects, attempted to redesign the standard form of a PET bottle. The new form allows itself to be slotted into each other to form 9 bottle units that can ultimately act as a brick bond without mortar. Hence, the bottles can then become effecctive building material for temporary and long-term structures and pavilions. Since water bottles are distributed to people at times of disaster, the leftover PET bottles can then be reused .The project belongs under the Urban Mine category since it essentially transforms what people consider waste into construction materials.""",,,,,,,,,,,,,,
"""Architect's Declare""","""UK Architect Firms""","""2019""","""UK""","""europe""","""movement""","""people""","""https://www.architectsdeclare.com/""","""https://www.architectsdeclare.com/, https://www.architectsjournal.co.uk/news/what-has-architects-declare-achieved""",,,"""The Architect's Declare is a pact signed by architects from the UK as a commitment to to strengthen our working practices to create architecture and urbanism that has a more positive impact. Through this initiative, the architects seek to raise awareness of the climate and biodiversity emergencies,advocate for faster change in the industry towards regenerative design practices and a higher Governmental funding priority to support this,establish climate and biodiversity mitigation principles as the key measure of our industry’s success, share knowledge and research to that end on an open source basis, evaluate all new projects against the aspiration to contribute positively to mitigating climate breakdown, upgrade existing buildings for extended use as a more carbon efficient alternative to demolition and new build whenever there is a viable choice,adopt more regenerative design principles in our studios, with the aim of designing architecture and urbanism that goes beyond the standard of net zero carbon in use, accelerate the shift to low embodied carbon materials in all our work and minimise wasteful use of resources in architecture and urban planning, both in quantum and in detail.""",,,,,,,,,,,,,,
"""Streetcaster""","""Supernormal""","""2018""","""Massachusetts, USA""","""north america""","""data""","""people, digitalization""","""https://www.supernormal.io/streetcaster""","""https://www.supernormal.io/streetcaster""",,,"""StreetCaster is a program/algortihm developed by Supernormal that integrates social equity as a key variable in prioritizing infrastructural replacements and repairs. Developed in collaboration with The City of Boston Public Works Department (PWD) and City of Boston Mayor’s Office of New Urban Mechanics (MONUM) are working together, and other City agencies, this program aims to be an equitable approach to allocating resources for infrastructure, starting with sidewalk replacements and repairs. Through the program, the City will create new networks of sidewalks in areas that need them most, while simultaneously improving the way that resident requests for repairs through the City’s 311 system are addressed.This map-based index identifies zones/areas he zones that provide critical access to civic assets; that, if well served, help deal with systemic inequity; and that are in physical disrepair.""",,,,,,,,,,,,,,
"""compass, rv2, equilibrium""","""Bloch Research Group""","""ongoing""","""Zürich, Switzerland""","""europe""","""data""","""people, digitalization""","""https://block.arch.ethz.ch/brg/tool""","""https://block.arch.ethz.ch/brg/tool""",,,"""RhinoVAULT 2 (RV2), COMPAS and eQUILIBIRUM are open-source research and development platforms, developed by ETH Zurich, for form-finding, computational research and collaboration across disciplines in Architecture, Engineering, and Digital Fabrication.RhinoVAULT 2 (RV2) is an open-source research and development platform for funicular form-finding built with COMPAS, a Python-based framework for computational research and collaboration in Architecture, Engineering, and Digital Fabrication.eQUILIBIRUM is a comprehensive and dynamic e-learning and -teaching environment for structural design and analysis, based on graphic statics, in which architects and engineers of all skill levels can deepen their knowledge and understanding of structures in an interactive manner. It is implemented as a dynamic website on which structures are taught in an exciting and exploratory manner, using interactive drawings. The project uses intuitive, graphical approaches such as graphic statics, a powerful method for exploring structural form.""",,,,,,,,,,,,,,
"""3D Print Canal House""","""Dus""","""2018""","""Amsterdam, Netherlands""","""europe""","""built project""","""fabrication""","""https://houseofdus.com/project/3d-print-canal-house/""","""https://houseofdus.com/project/3d-print-canal-house/""",,,"""3D Print Canal House Living Lab is a project initiated by DUS. Through this design-and-build project, a life size Canal House is 3D-printed as a research into new global housing solutions and market explorations. The developed eco system will include customised engineering software, bio-based printing materials and several innovative XL FDM 3D printers that can print building elements up to 5 m tall. The final 700m2 Canal House will comprise workshop areas, XL 3D print facilities, a cafe and exhibition area, and is expected to be completed in 2018.""",,,,,,,,,,,,,,
"""TIM/ RTC""",,,,,"""method""","""fabrication""",,,,,"""Mobile timber fabrication system""",,,,,,,,,,,,,,
"""CO2 Absorbent Cladding""","""Made of Air""",,"""Berlin, Germany""","""europe""","""material""","""fabrication, biological metabolism""",,,,,"""British company Made of Air has produced a carbon sequestration product intended to offer an alternative to fossil-based thermoplastics for use cases where the material has a long life. The raw materials such as sawdust and small chip sizes are obtained from the waste stream of the forestry industry. Including leftover material from cut trees for timber products which are pyrolised to create a compact hardened  carbon-negative thermoplastic compound. This compound/mass locks in carbon for long periods converting into elemental carbon, which instead of going back to CO2, can be completely decomposed and returned back to the soil.The material is designed for durability and intended as a replacement for “high emissions thermoplastics'' which can be used for potential products like furniture, interior/exterior panelling, car dashboards and “closed-loop products” used by businesses within their own supply chains. Products made from this thermoplastic, at the end of their life, can be collected, ground down and reformed and this has the potential of replacing conventional high CO2 emitting cladding materials like steel etc.""",,,,,,,,,,,,,,
"""Blade Made Playgrounds""","""Superuse Studio""",,"""Rotterdam, Netherlands""","""europe""","""landscape architecture project""","""site, circular economy""",,,,,"""Built on a 1200 sqm plot, Blade Made playground is a refurbishment of an existing playground designed by Supersuse studio. The designers  mapped the old situation, which was in a derelict state and in urgent need of renovation and carefully selected elements that were appropriate for reuse in the new playground.Using five decommissioned rotor blades placed around an existing concrete slab , the idea is to create a maze-like space with a pentagonal panna (soccer) pitch in the middle. The base of the blades has been used as four towers, each with their own character. The cut off parts are spread around the garden and connect the towers. Between the towers a net provides an opportunity for climbing and is also preventing balls ending up in the backyards around the playground.Besides the rotor blades there is more that has been reused, for example the stainless steel slides and the tiles of the pavement. The tiles have been used vertically, reducing the total surface to transform the stoney playground into a wood chip ground cover that is better equipped for heavy rainfall.""",,,,,,,,,,,,,,
