Project Name,Architect,Year,City,Continent,Project Type,Aspect,Image link,Source,Summary
"""People's Pavilion""","""bureau SLA + Overtreders W""","""2017""","""Eidhoven, The Netherlands""","""europe""","""project""","""site, circular economy, technical metabolism""","""https://bureausla.nl/wp-content/uploads/2018/02/Peoples_Pavillion_Eindhoven_exterior.jpg""","""https://www.bureausla.nl/project/peoples-pavilion/?lang=en, https://www.archdaily.com/915977/peoples-pavilion-bureau-sla-plus-overtreders-w""","""People's Pavilion, designed by bureau SLA + Overtreders W, successfully made a design statement regarding a circular economy, where the pavilion was a 100% circular building with no materials being wasted. Used as the main event hall of the World Design Event, the structure could accommodate 200 people and served as a venue for meetings and hang-out spaces for visitors. All materials were borrowed from people, including traditional suppliers as well as the residents of Eindhoven, making the project highly dependent on the locals. The podium, which consisted of concrete slabs, was borrowed from the manufacturers while the coloured facade was made from plastic wastes produced by the residents. The circular construction loop was closed by redistributing the coloured tiles to the households at the end of Dutch Design Week."""
"""Architect's Declare""","""UK Architect Firms""","""2019""","""UK""","""europe""","""strategy""","""people""","""https://cdn.rt.emap.com/wp-content/uploads/sites/4/2020/06/22045553/adlogo-3.jpg""","""https://www.architectsdeclare.com/, https://www.architectsjournal.co.uk/news/what-has-architects-declare-achieved""","""The Architect's Declare is a pact signed by architects from the UK as a commitment to to strengthen working practices to create architecture and urbanism that have a more positive impact. The pact was initiated by the fact that construction consists of approximately 40% of current CO2 emissions. Through this initiative, the architects seek to raise awareness of the climate and biodiversity emergencies while advocating for faster change in the industry towards regenerative design practices. Their aims include: raising awareness of climate emergencies, advocating for change through higher governmental funding priority, and establishing biodiversity mitigation principles towards success."""
"""Public Farm PS1 MoMA""","""WORK Architecture""","""2008""","""New York, USA""","""north america""","""project""","""people, site""","""https://cdnassets.hw.net/dims4/GG/05f9b06/2147483647/thumbnail/876x580%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F3d%2F3c%2F00cff08a409b83ee1e57dfa6cb8b%2Fc31a92ba-a74e-4693-9083-3c8eee64c55e.jpg""","""https://work.ac/work/pf1/, https://www.architectmagazine.com/project-gallery/public-farm-one-at-moma-ps1-3673""","""Public Farm One (P.F.1) is an urban farm installation designed by WORK Architecture as part of the PS1 MoMA competition. Constructed from large cardboard tubes, its top surface serves as a working farm, consisting of a variety of vegetables and plants. The project accommodates and creates spaces with elements of shade, water, seating, and bar areas. P.F.1 will work as an interactive bridge between the outside and the inside, creating multiple zones of activity including swings, fans, sound effects, and a refreshing pool at its centre. The installation was envisioned as a living structure made from inexpensive and sustainable materials that would eventually be recyclable after its use."""
"""Kendeda Building""","""Miller Hull""","""2019""","""Georgia, USA""","""north america""","""project""","""technical metabolism, site, energy""","""https://cdnassets.hw.net/dims4/GG/8095330/2147483647/resize/850x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Ff1%2F55%2Fd525d70a4e98a91c67ba71fdd9dd%2Fkendeda-building-for-innovative-sustainable-design-skanska-01.jpg""","""https://www.archdaily.com/966808/the-kendeda-building-for-innovative-sustainable-design-miller-hull-partnership,  https://www.architectmagazine.com/project-gallery/the-kendeda-building-for-innovative-sustainable-design_o, https://livingbuilding.gatech.edu/""","""The Kendeda Building for Innovative Sustainable Design by Miller Hull architects is located on the main campus of the Georgia Institute of Technology, Atlanta. Integrating multidimensional solutions using a systems-based process, the building is an example of a regenerative system. To reduce embodied energy, nail-laminated timber (NLT) floor and roof panels were selected as the primary materials. Protection from the weather was critical - hence, high-performance coatings were used on steel members. Concrete was limited to foundations and where it was beneficial for thermal mass. The design focuses on optimising the program and making efficient use of space, including outdoor classrooms and an outdoor lab on the roof. Water systems were designed to integrate the project into the Georgia Tech ecosystem."""
"""Microsoft Silicon Valley Campus""","""WRNS Studio""","""2020""","""California, USA""","""north america""","""project""","""site, people, health""","""https://cdnassets.hw.net/dims4/GG/dc67caa/2147483647/resize/850x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F34%2Fd2%2F052487e64a4db320a829e1ae443e%2Fmicrosoft-silicon-valley-campus-12.jpg""","""https://www.architectmagazine.com/project-gallery/microsoft-silicon-valley-campus_o, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""","""The Microsoft Silicon Valley Campus (MSV), designed by WRNS Studio, brings together the context - California's severe droughts - and Microsoft's need for a larger campus to address growing demands. Hence, the aim of the project was to improve the physical workplace, while taking into account the well-being of both people and space. The engagement with site was achieved through reusing the waste produced, investing in strategies such as thermal storage, and using materials with reduced carbon. The resulting statistics were: a reduction by 57% in potable water despite the increase in site, as well as a reduction in energy demand by 55% while enhancing comfort and liveability. Furthermore, interaction between the spaces within the building and the exterior environment (green roof, decks, etc.) was also a notable factor to the design."""
"""Decentralised Water Systems""","""Victorian Eco-Innovation Lab (VEIL), International Living Future Institute's (ILFI's) Cascadia Green Building Council (CGBC)""","""2016""","""Michigan, USA""","""north america""","""tool""","""water""","""https://cdnassets.hw.net/dims4/GG/fe7aaac/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fff%2F36%2F90c87ed547f08c9a290fdb9603ad%2F0210-mm-hero.jpg""","""https://www.architectmagazine.com/technology/the-architectural-impetus-for-decentralized-water-systems_o""","""The strain on centralised water systems, which have been under constant stress from new types of pollutants, increasing population density, and varying precipitation patterns, have led to the proposal of decentralised water systems by the Victorian Eco-Innovation Lab (VEIL) and the International Living Future Institute's (ILFI's) Cascadia Green Building Council (CGBC). Decentralised water will entail significant benefits compared to the current system; for instance, there will be significantly less contamination risk, improved energy performance, and better management of resources. Despite certain shortcomings such as cost and safety, net-zero water systems will highly likely provide the solution to current problems with the underground pipes that are nearing the end of their life span."""
"""Temporary Church in Risaralda""","""Simon Velez""","""2002""","""Rosarala, Colombia""","""south america""","""project""","""people, fabrication""","""https://divisare-res.cloudinary.com/images/dpr_1.0,f_auto,q_auto,w_800/v1531256430/opwgaumqyhf6j5vy7to6/simon-velez-architects-xavier-de-jaureguiberry-contemplation-bamboo-pavilion.jpg""","""https://divisare.com/authors/2144845144-simon-velez-architects/projects/built, https://www.degruyter.com/document/doi/10.1515/9783035608656-028/html""","""Temporary Church in Risaralda by Simon Velez, similar to the Metropol Parasol and the Wander Wood Pavilion, aimed to combine traditional building materials - bamboo - with new and advanced technologies. The Guadua bamboo covered a metallic mesh and cement layer underneath, signalling new fabrication techniques. Velez made active use of bamboo's versatility: any type of structure could be constructed, with the outcome being environmentally and structurally beneficial. This project introduced new construction techniques in Colombia, where bamboo could now be used for buildings in inter-tropical regions, where it had previously been unimaginable."""
"""Terra - The Sustainability Pavilion Dubai Expo 2020""","""Grimshaw""","""2020""","""Dubai, United Arab Emirates""","""asia""","""project""","""site, water, energy""","""https://grimshaw.global/assets/uploads/Terra_15_1.jpg""","""https://grimshaw.global/projects/dubai-expo-2020-sustainability-pavilion/, https://www.dezeen.com/awards/2021/longlists/terra-the-sustainability-pavilion-dubai-expo-2020/""","""Terra - The Sustainability Pavilion in the Dubai Expo 2020 by Grimshaw draws inspiration from the natural processes in the unique site of Dubai, where the design attempts to capture energy from the sunlight and water from the humid atmosphere. One aim of the pavilion was to achieve net-zero, which ultimately led Grimshaw to come up with a self-contained micro-ecosystem where the building generates energy and water on its own. Insulating properties of the earth were used to prevent extreme temperatures, while roof systems were used to provide shaded areas and to reduce cooling needs. Plants were brought from surrounding areas to be arranged on the roofs and the gardens, hence creating a landscape that operates on a closed cycle where water is filtered, supplied, and recycled. The highlight of the pavilion - the exterior courtyard - is a passively cooled space that uses photovoltaic cells to produce solar energy while providing shade to exhaust hot air to enhance comfort."""
"""3D Print Canal House""","""Dus""","""2018""","""Amsterdam, Netherlands""","""europe""","""project""","""fabrication""","""https://houseofdus.com/wp-content/uploads/2016/10/3D_Print_Canal_House_08_small-500x750.jpg""","""https://houseofdus.com/project/3d-print-canal-house/"", ""https://www.ignant.com/2016/09/16/the-worlds-first-3d-printed-canal-house/""","""3D Print Canal House Living Lab is a project initiated by DUS. Through this design-and-build project, a life size Canal House is 3D-printed as a research into new global housing solutions and market explorations. The developed eco system will include customised engineering software, bio-based printing materials and several innovative XL FDM 3D printers that can print building elements up to 5 m tall. The final 700m2 Canal House will comprise workshop areas, XL 3D print facilities, a cafe and exhibition area, and is expected to be completed in 2018."""
"""United Bottle's Project""","""INSTANT Architects""","""2007""","""Zürich, Switzerland""","""europe""","""project""","""fabrication, technical metabolism""","""https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/6/18/1434644074504/75275cbb-26e9-4279-bf0d-c73694c38dd5-685x720.png?width=940&quality=85&auto=format&fit=max&s=cf7cc711a8003ac7ac7c0f65b729a93c""","""https://www.theguardian.com/sustainable-business/2015/jun/19/three-ways-we-will-build-the-cities-of-the-future-from-waste, http://www.raumtaktik.de/en/projects/077-united-bottle""","""The United Bottles Project, a prototype developed by INSTANT Architects, attempted to redesign the standard form of a PET bottle. The new form allows itself to be slotted into each other to form 9 bottle units that can ultimately act as a brick bond without mortar. Hence, the bottles can then become effective building material for temporary and long-term structures and pavilions. Since water bottles are distributed to people at times of disaster, the leftover PET bottles can then be reused. Such methods of construction enable buildings to both store materials that can be recycled in the future and contribute towards efforts to save energy that goes into mine new materials for future usage."""
"""Community Centre of El Rodeo de Mora""","""Fournier-Rojas Arquitectos""","""2017""","""El Rodeo de Mora, Costa Rica""","""north america""","""project""","""site, people""","""https://i.pinimg.com/736x/7f/36/fe/7f36feaf2e8f1c6798ed26a620522304--rodeo-mora.jpg""","""https://www.designboom.com/architecture/fournier-rojas-arquitectos-community-center-of-el-rodeo-de-mora-costa-rica-01-24-2017/""","""Community Centre of El Rodeo de Mora, designed by Fournier-Rojas Arquitectos, was built on low budget (less than $250 per square metre), using local materials. The large, circular design enabled the construction of new amenities such as storage facilities, kitchens, and toilets for the community football team. The project largely responds to the site through its use of local materials - material donations were received from the community, which both lowered costs and led to the adaptation to the context. The walls were built out of clay ventilation bricks, allowing fresh air in a site that experiences high temperature and humidity. Furthermore, the roof was built out of fibre-cement sheets that extend 2m from the edge of the building. This provides shade that protects people from the frequent sun and rain, successfully ""respond[ing] to the region's tropical vernacular architecture."""""
"""VATnsmyri""","""Sean Lally""","""2019""","""Reykjavik, Iceland""","""europe""","""project""","""site, energy""","""https://i0.wp.com/seanlally.net/wp-content/uploads/2019/03/WEB_Vat_1.jpg?resize=640%2C428""","""http://seanlally.net/2019/02/18/vat/""","""VATnsmyri, a proposal in Reykjavik, Iceland, engages the pre-existing thermal pools and ocean water on the site to produce a ""climatic wash"" that extends the seasonal activities to allow longer time outdoors. Sean Lally, who designed the project, extpects this system to allow the growth of vegetation and the promotion of social activities in public parks, since artificial microclimates will form within new building masses. This project is an example of how the architect uses the presence of water and the unique characteristics of the site (thermal pools with ocean water) to envision a new landform that will connect different landscapes."""
"""Design for Social Sustainability""","""Woodcraft, S., Bacon, N., Caistor-Arendar, L., Hackett, T""","""2012""","""UK""","""europe""","""publication""","""people, health""","""https://i1.rgstatic.net/publication/328581636_Design_for_Social_Sustainability_A_framework_for_creating_thriving_new_communities/links/5bd8a7d7299bf1124fae40dc/largepreview.png""","""http://www.social-life.co/media/files/DESIGN_FOR_SOCIAL_SUSTAINABILITY_3.pdf""","""'Design for Social Sustainability,' written by Woodcraft, S., Bacon, N., Caistor-Arendar, L., Hackett, T, lays out a framework for designing spaces, houses, and services to help communities thrive and become socially sustainable. The authors argue how building new communities that are successful in terms of social health is as important as designing spaces that are physically and environmentally sustainable. Social design in itself should be emphasised so that future policies and practices evolve around this principle. This publication puts emphasis on how social sustainability can be achieved in emerging communities and how it is essential, revealing how people can become socially healthy."""
"""Swift Factory""","""Bruner/Cott Architects""","""2020""","""Connecticut, USA""","""north america""","""project""","""site, water""","""https://i2.wp.com/www.brunercott.com/wp-content/uploads/2017/05/DJI_0189_web-scaled.jpg?resize=1300%2C731&ssl=1""","""https://www.brunercott.com/projects/the-swift-factory/, https://builtenvironmentplus.org/gbs21-winners/""","""Swift Factory is part of a community redevelopment project designed by Bruner/Cott Architects, located in North Hartford, Connecticut, USA. The former Swift Gold Leaf Factory was reconstructed to form a community centre for job opportunities, youth education, the improvement of health, and the spurring of economic growth in the local area. The pre-existing opaque fibreglass windows were replaced with contemporary black framed glass windows, while the brick facade was cleaned to maintain the historic atmosphere of the original building. Steel awnings were added to mark entryways, while new programmes were identified with new signs that match the historic columns and floors. Overall, the reuse of the factory marks the social, cultural, and economic conditions of North Hartford while engaging in a sustainable process."""
"""I'm Lost in Paris""","""R&Sie(n)""","""2008""","""Paris, France""","""europe""","""project""","""health, biological metabolism""","""https://images.adsttc.com/media/images/500f/1673/28ba/0d0c/c700/1a37/newsletter/stringio.jpg?1414016076""","""https://www.archdaily.com/12212/im-lost-in-paris-rsien""","""Designed by R&Sie(n), 'I'm Lost in Paris' is a 130m² two storey structure in a residential courtyard shrouded in a dense facade of hydroponically sustained ferns. Located in Paris, France, the structure contains a metal pergola set at a distance from the main house, while being anchored by horizontal members attached to the external walls. The house is made of raw concrete with the external walls wrapped in a thick layer of green plastic with polyurethane insulation underneath. The 1,200 specimens are nourished by a mixture of bacteria, nutrients, and rainwater, which can be adjusted in response to climate and light in 300 glass beakers - this helps the inhabitants regulate light and temperature within the building."""
"""Ningbo Museum""","""Wang Shu""","""2008""","""Ningbo, China""","""asia""","""project""","""technical metabolism, site""","""https://images.adsttc.com/media/images/500f/3317/28ba/0d0c/c700/2074/slideshow/stringio.jpg?1414333183""","""https://www.archdaily.com/14623/ningbo-historic-museum-wang-shu-architect, https://www.dezeen.com/2016/08/18/video-interview-wang-shu-amateur-architecture-studio-ningbo-history-museum-movie/""","""The Ningbo Museum, designed by architect Wang Shu, is located in the city of Ningbo in Zhejiang Province, China. The museum focuses on the history and traditions of the Ningbo area, as seen from the fact that the facade was built out of debris produced from the surrounding sites, where villages and houses were destroyed to make way for new developments. The debris and the recycled bricks on the facade of the three-storey museum evokes memories from the people who live nearby, while the construction technique used - Wapan - was also a traditional method originating from China. Local craftsmen were involved in the process, where several iterations on how to assemble bricks of different sizes were made to both keep traditions and to build the most stable structural frame."""
"""Bioclimatic Dwelling in Tenerife""","""Ruiz Larrea y Asociados""","""2003""","""Tenerife, Spain""","""europe""","""project""","""site, energy, technical metabolism""","""https://images.adsttc.com/media/images/512d/1ab8/b3fc/4b11/a700/f071/slideshow/1330908644-la-geria-0.jpg?1412166768""","""https://www.archdaily.com/775212/bioclimatic-dwelling-in-tenerife-ruiz-larrea-y-asociados""","""The Bioclimatic Dwelling in Tenerife by Ruiz Larrea y Asociados used optimum orientation and local materials with zero energy cost, such as Tosca volcanic stone and recycled wood, to control air renewal and alleviate impacts on the environment. Local conditions including benign weather conditions led to no heating and cooling requirements, contributing to great reductions in cost. The circular profile of the plan led to reduced impacts by wind while providing conceptual inspiration to the architects regarding space and landscape. Not only that, but the architects also used materials such as Tosca stone the concrete slabs to supply the interior space with fresh air and avoid direct sunlight. Such passive systems within the house, achieved through the use of materials, intended to maximise the comfort of the residents."""
"""Waterbank Campus""","""PITCHAfrica""","""2014""","""Kenya""","""africa""","""project""","""water, site, people""","""https://images.adsttc.com/media/images/551e/ec49/e58e/cef2/4700/01ca/large_jpg/Screen_Shot_2015-04-03_at_12.43.16_PM.jpg?1428089924""","""https://www.archdaily.com/616304/pitchafrica-creates-water-harvesting-campus-and-stadium-for-communities-in-need""","""The Waterbank Campus in Kenya, designed by PITCHAfrica - a non-profit design group - addresses the need for reservoirs in Africa by incorporating water-harvesting buildings into a football stadium. Since Kenya wastes the water in aquifers that are non-renewable, while greatly underusing rainwater, PITCHAfrica intended to change the relationship by bringing the water to the schools to initiate change. The harvesting, storing, and filtering systems within the school building make the community self-sufficient and sustainable. While students are given opportunity for high quality education and clean water, the people living in the area gain access to a football stadium that brings passion and inclusion on top of the water. The aim of the project is to extend the resources of the Waterbank Campus to over 50,000 residents in surrounding villages."""
"""Metropol Parasol""","""Jurgen Mayer""","""2011""","""Seville, Spain""","""europe""","""project""","""fabrication, site, technical metabolism""","""https://images.adsttc.com/media/images/55e6/ba4a/4d8d/5dd1/7300/0eef/slideshow/parasoles_fernandoalda_22_m.jpg?1441184326""","""https://www.archdaily.com/201961/metropol-parasol-j-mayer-h-arup, https://www.arup.com/projects/metropol-parasol""","""The Metropol Parasol, a wooden structure designed by Jurgen Mayer and located in the excavation site of Plaza de la Encarnacion in Seville, Spain, is considered the largest wooden structure in the world. The structure occupies 50 square metres while consisting of rooftop promenades that offer views of the city from above. The Metropol experiments with wood as a sustainable material while contributing towards the culture of Seville. The wooden panels were coated with polyurethane and the unique profile of the modules and the spaces that are created in between them intend to host a variety of cultural and social activities within the dense urban fabric of the city. Additionally, the neutral colour of the wood blends naturally into the cityscape, hence harmonising with the city's ""medieval surroundings."""""
"""Alliander HQ""","""RAU Architects""","""2015""","""Duiven, Netherlands""","""europe""","""project""","""technical metabolism, circular economy, energy, people""","""https://images.adsttc.com/media/images/5655/333a/e58e/ceb2/5f00/012c/slideshow/portada_IMG_8811_300_.jpg?1448424239""","""https://www.archdaily.com/777783/alliander-hq-rau-architects#:~:text=The%20new%20head%20office%20for,which%20will%20house%201550%20workers., https://archello.com/project/alliander-hq""","""The new head office for the energy grid company Alliander in Duiven, the Netherlands, was designed and renovated by RAU Architects. With the aim to integrate the existing buildings, each composed of different blocks, the project successfully blends the old and the new through a large atrium covered by an iconic roof. Six different volumes are connected visually, programmatically, and logistically, forming an “in between” space where people can socialise. The facade of the existing buildings were maintained, and a “skin” was attached on top to improve the overall insulation value. Factors including efficiency in intervention, material use, cost, and the burden on the environment were the main guiding principles throughout the design process. Circularity was an integral part of the design in many ways: respecting the majority of the existing constructions, recycling the asphalt from the existing roofs, and so on."""
